1	1	11911	cup	2.0
2	1	19335	serving packet	3.0
3	1	11313	cup	3.0
4	1	02047	tsp	1.0
5	1	01212	cup	8.5
6	1	01128	large	0.5
7	1	07053	tbsp	6.0
8	1	09340	fruit 2-1/4" high x 2-1/2" dia	7.5
9	1	11941	cup	5.0
10	1	01002	pat (1" sq, 1/3" high)	1.0
11	1	20032	cup	7.0
12	2	09257	cup	7.5
13	2	09150	cup, sections	2.0
14	2	04511	tablespoon	5.5
15	2	11289	package (10 oz)	4.5
16	2	11143	cup chopped	7.5
17	2	11683	cup	6.0
18	2	11215	cup	1.0
19	2	20045	cup	5.5
20	2	18304	oz	6.0
21	2	11468	cup, sliced	9.5
22	2	11413	cup	3.5
23	2	43312	cup	5.0
24	2	09443	fl oz	2.0
25	2	09444	fl oz	7.0
26	2	01053	cup, whipped	3.0
27	2	02047	tsp	6.0
28	3	23563	oz	6.5
29	3	02046	tsp or 1 packet	3.0
30	3	11234	cup, chopped	5.0
31	3	11289	package (10 oz)	6.0
32	3	07013	link cooked	3.0
33	3	28348	roll	6.5
34	3	11948	slice	9.0
35	3	02046	tsp or 1 packet	1.0
36	4	11683	cup	4.0
37	4	02047	tsp	6.5
38	4	01145	pat (1" sq, 1/3" high)	4.5
39	4	02047	tsp	4.5
40	4	14555	fl oz	3.0
41	4	05078	oz	4.5
42	4	10878	serving (3 oz)	3.5
43	4	19296	cup	2.0
44	4	27052	tbsp	3.5
45	4	11156	tbsp chopped	5.5
46	4	11976	cup	1.0
47	5	09084	cup	1.0
48	5	02046	tsp or 1 packet	3.5
49	5	16085	cup	4.5
50	5	07028	slice	7.0
51	5	14604	fl oz	7.0
52	5	09307	cup, diced	6.5
53	6	09150	cup, sections	4.0
54	6	07030	oz	5.0
55	6	19334	tsp unpacked	5.5
56	6	01001	pat (1" sq, 1/3" high)	9.0
57	6	09318	cup, thawed	4.5
58	6	19336	cup unsifted	1.0
59	6	20027	cup	7.5
60	6	09444	fl oz	4.5
61	6	09200	cup, sections	1.0
62	6	01054	cup	1.5
63	7	20132	cup	8.5
64	7	11313	cup	2.5
65	7	02047	tsp	7.5
66	7	16156	tbsp	6.5
67	7	04602	tablespoon	0.5
68	7	19336	cup unsifted	6.5
69	7	01125	large	0.5
70	7	11305	cup	1.0
71	7	01097	fl oz	1.5
72	7	01055	tbsp	2.5
73	7	43543	cup	8.0
74	7	12152	cup	7.5
75	7	18940	muffin small	4.0
76	8	04513	tablespoon	6.0
77	8	04601	tablespoon	2.5
78	8	19918	package	8.5
79	8	19918	package	5.5
80	8	01140	egg	8.5
81	8	19340	tsp	5.5
82	8	02052	tsp	4.0
83	8	18097	oz	1.5
84	8	19860	tablespoon Ghirardelli label 2011	7.0
85	8	01049	fl oz	0.5
86	8	01136	cup, sifted	5.5
87	8	04513	tablespoon	6.5
88	8	09040	cup, mashed	7.5
89	8	19340	tsp	7.5
90	8	09443	fl oz	3.0
91	8	06972	packet	3.0
92	9	04513	tablespoon	4.5
93	9	43287	cup, chopped or diced	6.0
94	9	01002	pat (1" sq, 1/3" high)	0.5
95	9	11288	tbsp chopped	2.5
96	9	11143	cup chopped	0.5
97	9	11683	cup	4.5
98	9	11156	tbsp chopped	1.5
99	9	11215	cup	2.5
100	9	11149	cup (1" pieces)	3.5
101	9	16104	cup	6.5
102	9	20444	cup	8.0
103	9	20048	cup	5.0
104	9	11519	cup, sliced	1.5
105	9	18050	oz	4.5
106	9	05060	cup, chopped or diced	0.5
107	9	02047	tsp	2.0
108	9	05735	oz	3.0
109	9	02047	tsp	6.5
110	9	11976	cup	2.0
111	9	01002	pat (1" sq, 1/3" high)	9.5
112	10	05041	cup, chopped or diced	6.5
113	10	11976	cup	9.0
114	10	18066	oz	6.5
115	10	04601	tablespoon	9.0
116	10	09444	fl oz	9.0
117	10	11234	cup, chopped	3.5
118	10	11313	cup	2.5
119	10	31036	cup	9.5
120	10	11289	package (10 oz)	8.0
121	11	28397	oz	3.0
122	11	11143	cup chopped	2.0
123	11	11282	cup, chopped	6.5
124	11	16104	cup	3.5
125	11	11236	cup, chopped	8.5
126	11	05094	thigh with skin	5.0
127	11	04001	tbsp	2.5
128	12	22911	cup	8.5
129	12	10026	oz	8.0
130	12	02047	tsp	7.5
131	12	19335	serving packet	7.0
132	12	22905	cup (1 serving)	8.0
133	12	04513	tablespoon	1.5
134	12	01137	cup, sifted	3.5
135	12	11296	cup	7.5
136	13	11156	tbsp chopped	6.5
137	13	04601	tablespoon	5.0
138	13	01042	oz	4.5
139	13	09133	cup	5.0
140	13	04513	tablespoon	3.0
141	13	09277	cup, sliced	1.0
142	13	11955	cup	3.5
143	13	11284	tbsp	5.5
144	13	11215	cup	8.0
145	13	02047	tsp	4.0
146	13	02044	leaves	1.5
147	13	09178	cup, chopped or diced	7.5
148	13	20444	cup	5.0
149	14	18065	oz	1.0
150	14	02047	tsp	3.5
151	14	11457	cup	9.5
152	14	04506	tbsp	6.5
153	14	01002	pat (1" sq, 1/3" high)	3.5
154	14	22962	hot pocket (1 NLEA serving)	7.0
155	14	11292	tbsp	5.5
156	14	11683	cup	9.5
157	14	11143	cup chopped	9.0
158	14	11215	cup	8.5
159	14	15105	oz	7.0
160	14	11349	cup	1.0
161	14	27052	tbsp	0.5
162	14	17132	oz	6.5
163	14	14637	pouch	3.5
164	14	11976	cup	2.5
165	14	11458	cup	5.5
166	14	07053	tbsp	1.0
167	14	04574	tbsp	8.5
168	14	04513	tablespoon	9.5
