1	01001	pat (1" sq, 1/3" high)	5.0
2	01002	pat (1" sq, 1/3" high)	3.8
3	01003	tbsp	12.8
4	01004	oz	28.35
5	01005	cup, diced	132.0
6	01006	oz	28.35
7	01007	oz	28.35
8	01008	oz	28.35
9	01009	cup, diced	132.0
10	01010	oz	28.35
11	01011	cup, diced	132.0
12	01012	oz	28.25
13	01013	oz	28.25
14	01014	cup (not packed)	145.0
15	01015	oz	28.25
16	01016	oz	28.25
17	01017	tbsp	14.5
18	01018	oz	28.35
19	01019	cup, crumbled	150.0
20	01020	cup, diced	132.0
21	01021	oz	28.35
22	01022	oz	28.35
23	01023	oz	28.35
24	01024	cup	134.0
25	01025	cup, diced	132.0
26	01026	cup, shredded	112.0
27	01027	oz	28.35
28	01028	oz	28.35
29	01029	cup, diced	132.0
30	01030	cup, diced	132.0
31	01031	oz	28.35
32	01032	cup	100.0
33	01033	oz	28.35
34	01034	cup, diced	132.0
35	01035	cup, diced	132.0
36	01036	cup	248.0
37	01037	cup	248.0
38	01038	oz	28.35
39	01039	oz	28.35
40	01040	cup, diced	132.0
41	01041	oz	28.35
42	01042	oz	28.35
43	01043	cup, diced	140.0
44	01044	cup, diced	140.0
45	01045	oz	28.35
46	01046	cup	113.0
47	01047	oz	28.35
48	01048	cup, diced	140.0
49	01049	fl oz	30.2
50	01050	fl oz	30.0
51	01052	cup, whipped	120.0
52	01053	cup, whipped	120.0
53	01054	cup	60.0
54	01055	tbsp	15.0
55	01056	tbsp	12.0
56	01057	cup	254.0
57	01058	tbsp	12.0
58	01059	cup	244.0
59	01060	cup	244.0
60	01061	serving	19.0
61	01067	container, individual	15.0
62	01068	container, individual	15.0
63	01069	cup	94.0
64	01070	oz	28.666666666666668
65	01071	cup	80.0
66	01072	cup	70.0
67	01073	cup	75.0
68	01074	oz	28.35
69	01076	cup	244.0
70	01077	cup	244.0
71	01078	cup	244.0
72	01079	cup	244.0
73	01080	cup	245.0
74	01081	cup	246.0
75	01082	cup	244.0
76	01083	cup	245.0
77	01084	cup	246.0
78	01085	cup	245.0
79	01086	cup	245.0
80	01087	cup	246.0
81	01088	cup	245.0
82	01089	cup	244.0
83	01090	cup	128.0
84	01091	cup	120.0
85	01092	cup	68.0
86	01093	oz	28.35
87	01094	cup	120.0
88	01095	fl oz	38.2
89	01096	fl oz	31.5
90	01097	fl oz	31.9
91	01102	cup	250.0
92	01103	cup	250.0
93	01104	cup	250.0
94	01105	cup	250.0
95	01106	fl oz	30.5
96	01107	fl oz	30.8
97	01108	cup	244.0
98	01109	cup	245.0
99	01110	fl oz	28.4
100	01111	fl oz	28.4
101	01112	cup	246.0
102	01113	cup	57.0
103	01114	cup	246.0
104	01115	cup	145.0
105	01116	container (6 oz)	170.0
106	01117	container (6 oz)	170.0
107	01118	container (6 oz)	170.0
108	01119	container (6 oz)	170.0
109	01120	container (6 oz)	170.0
110	01121	container (6 oz)	170.0
111	01122	container (6 oz)	170.0
112	01123	large	50.0
113	01124	large	33.0
114	01125	large	17.0
115	01126	oz	28.35
116	01127	oz	28.35
117	01128	large	46.0
118	01129	cup, chopped	136.0
119	01130	tbsp	15.0
120	01131	large	50.0
121	01132	large	61.0
122	01133	cup, sifted	85.0
123	01134	cup, sifted	85.0
124	01135	oz	28.35
125	01136	cup, sifted	107.0
126	01137	cup, sifted	67.0
127	01138	egg	70.0
128	01139	egg	144.0
129	01140	egg	9.0
130	01141	egg	79.0
131	01144	oz	28.28571428571429
132	01145	pat (1" sq, 1/3" high)	5.0
133	01146	tbsp	5.0
134	01151	cup	245.0
135	01152	cup	245.0
136	01153	fl oz	31.5
137	01154	cup	120.0
138	01155	cup	68.0
139	01156	oz	28.35
140	01157	oz	28.35
141	01159	oz	28.35
142	01160	oz	28.35
143	01161	cup, shredded	113.0
144	01164	tbsp	15.0
145	01165	cup, crumbled	132.0
146	01166	cup, diced	132.0
147	01167	cup, diced	132.0
148	01168	cup, diced	132.0
149	01169	cup, diced	132.0
150	01171	oz	28.0
151	01172	oz	28.0
152	01173	oz	28.0
153	01174	cup	246.0
154	01175	cup	244.0
155	01178	tablespoon	12.0
156	01179	tablespoon	12.0
157	01180	tablespoon	12.0
158	01182	cup shredded	113.0
159	01184	container (6 oz)	170.0
160	01185	tablespoon	5.0
161	01186	tbsp	18.0
162	01187	container (6 oz)	170.0
163	01188	tbsp	16.5
164	01189	tbsp	17.5
165	01190	slice	21.0
166	01191	oz	28.0
167	01192	oz	28.0
168	01193	tbsp	15.5
169	01194	tbsp	16.0
170	01199	tbsp	14.5
171	01200	tablespoon	4.0
172	01202	cup	250.0
173	01203	container (6 oz)	170.0
174	01204	cup	100.0
175	01205	tbsp	15.0
176	01206	tsp	3.0
177	01208	cup, diced	132.0
178	01209	oz	28.35
179	01210	tbsp	8.6
180	01211	cup	244.0
181	01212	cup	128.0
182	01214	cup	252.0
183	01215	slice 3/4 oz	21.0
184	01216	container (6 oz)	170.0
185	01217	container (6 oz)	170.0
186	01218	container (6 oz)	170.0
187	01219	container (6 oz)	170.0
188	01220	container (6 oz)	170.0
189	01221	container (6 oz)	170.0
190	01222	container (6 oz)	170.0
191	01223	tbsp	11.0
192	01224	scoop	25.0
193	01225	tbsp	19.0
194	01226	cup	240.0
195	01227	cup grated	97.0
196	01228	cup, crumbled	122.0
197	01229	cup, crumbled	118.0
198	01230	cup	245.0
199	01231	container	170.0
200	01235	cup	136.0
201	01236	cup	172.0
202	01237	bar	50.0
203	01238	serving	70.0
204	01239	serving	82.0
205	01240	unit	96.0
206	01241	serving	70.0
207	01242	serving	70.0
208	01243	cup	136.0
209	01244	bar	68.0
210	01250	can	227.0
211	01251	cup shredded	112.0
212	01252	slice (2/3 oz)	19.0
213	01253	oz	28.35
214	01254	cup	113.0
215	01255	oz	28.0
216	01256	container	170.0
217	01258	cup, sifted	107.0
218	01259	piece	21.0
219	01260	slice	21.0
220	01263	medium	298.0
221	01264	pieces	3.6538461538461537
222	01265	serving	28.0
223	01266	serving	28.0
224	01267	tsp	2.5
225	01270	slice (2/3 oz)	19.0
226	01271	cup	86.0
227	01275	oz	28.30188679245283
228	01276	oz	28.30188679245283
229	01278	oz	28.30188679245283
230	01280	oz	28.30188679245283
231	01281	oz	28.30188679245283
232	01284	container (5.3 oz)	150.0
233	01285	container (5.3 oz)	150.0
234	01286	container (5.3 oz)	150.0
235	01287	container (7 oz)	200.0
236	01291	cup	252.0
237	01295	cup (8 fl oz)	245.0
238	02001	tsp	1.9
239	02002	tsp, whole	2.1
240	02003	tsp, leaves	0.7
241	02004	tsp, crumbled	0.6
242	02005	tsp	2.1
243	02006	tsp, ground	2.0
244	02007	tsp	2.0
245	02008	tsp	0.6
246	02009	tsp	2.7
247	02010	tsp	2.6
248	02011	tsp	2.1
249	02012	tsp	0.6
250	02013	tsp	1.8
251	02014	tsp, whole	2.1
252	02015	tsp	2.0
253	02016	tsp	2.1
254	02017	tsp	1.0
255	02018	tsp, whole	2.0
256	02019	tsp	3.7
257	02020	tsp	3.1
258	02021	tsp	1.8
259	02022	tsp	1.7
260	02023	tsp	0.6
261	02024	tsp	2.0
262	02025	tsp	2.2
263	02026	tsp	2.4
264	02027	tsp, leaves	1.0
265	02028	tsp	2.3
266	02029	tsp	0.5
267	02030	tsp, ground	2.3
268	02031	tsp	1.8
269	02032	tsp, ground	2.4
270	02033	tsp	2.8
271	02034	tsp	1.5
272	02035	tsp	1.7
273	02036	tsp	1.2
274	02037	tsp	0.7
275	02038	tsp	0.7
276	02039	tsp	1.4
277	02041	tsp, leaves	0.6
278	02042	tsp, leaves	1.0
279	02043	tsp	3.0
280	02044	leaves	0.5
